url_length,digit_count,special_count,subdomain_count,has_https,suspicious_keywords,entropy,has_ip,is_shortened,slash_count,has_at_symbol,has_hyphen,equals_count,ampersand_count,is_media,is_tech,is_search,label
43,2,8,2,1,0,4.524988301163412,0,0,3,0,0,1,0,1,0,0,0
71,6,14,2,1,0,5.250109049350773,0,0,3,0,1,3,2,1,0,0,0
51,2,10,2,1,0,4.679696116812857,0,0,3,0,1,1,0,1,0,0,0
61,0,10,2,1,0,4.487473402852923,0,0,3,0,0,1,0,1,0,1,0
28,2,5,1,1,0,4.253434386188785,0,0,3,0,0,0,0,1,0,0,0
22,0,5,2,1,0,3.663532754804254,0,0,2,0,0,0,0,0,0,0,0
45,0,8,2,1,0,4.324534762707879,0,0,3,0,0,1,0,0,0,1,0
50,0,9,2,1,0,4.313269689515108,0,0,3,0,0,1,0,0,0,1,0
46,3,9,2,1,0,4.134990152123812,0,0,6,0,0,0,0,0,0,0,0
43,3,9,2,1,0,4.379298475431077,0,0,6,0,0,0,0,0,0,0,0
42,0,7,1,1,0,4.082328136858431,0,0,3,0,0,1,0,0,0,1,0
38,3,8,2,1,0,4.42899552716033,0,0,5,0,0,0,0,0,0,0,0
46,0,8,2,1,0,4.189125478116705,0,0,5,0,0,0,0,0,0,0,0
36,0,8,2,1,0,3.9511943630832222,0,0,5,0,0,0,0,0,0,0,0
55,3,10,2,1,0,4.233442842437982,0,0,7,0,0,0,0,0,0,0,0
40,0,8,2,1,0,4.196439344671015,0,0,3,0,0,1,0,0,0,1,0
18,0,4,1,1,0,3.6835423624332306,0,0,2,0,0,0,0,0,1,0,0
42,0,8,1,1,0,4.46328051781081,0,0,3,0,0,1,0,0,1,1,0
50,7,7,1,1,0,4.587277761308517,0,0,5,0,0,0,0,0,1,0,0
44,0,8,1,1,0,4.345350936622435,0,0,3,0,0,1,0,0,1,1,0
33,0,7,2,1,0,3.8093975283838026,0,0,4,0,0,0,0,0,1,0,0
45,1,9,2,1,0,4.161313030086848,0,0,5,0,0,0,0,0,1,0,0
34,0,7,1,1,0,3.797042165340715,0,0,5,0,0,0,0,0,1,0,0
49,0,10,1,1,0,3.8772521316709785,0,0,4,0,1,0,0,0,1,0,0
22,0,5,2,1,1,3.6978458230844122,0,0,2,0,0,0,0,0,0,0,0
46,0,9,2,1,1,4.414441303694972,0,0,3,0,0,1,0,0,0,0,0
37,3,8,2,1,1,4.260279974311011,0,0,5,0,0,0,0,0,0,0,0
35,10,7,2,1,0,4.514718016821337,0,0,4,0,0,0,0,0,0,0,0
37,10,7,2,1,0,4.432294243948858,0,0,4,0,0,0,0,0,0,0,0
44,8,8,2,1,0,4.498871107126151,0,0,4,0,1,0,0,0,0,0,0
49,4,9,2,1,0,4.377379426092949,0,0,5,0,0,0,0,0,0,0,0
45,4,9,2,1,0,4.305540252212915,0,0,4,0,1,0,0,0,0,0,0
50,8,9,2,1,0,4.58146788019945,0,0,4,0,1,0,0,0,0,0,0
44,0,7,2,1,0,4.083765141069551,0,0,4,0,0,0,0,0,0,0,0
50,0,8,2,1,0,4.239079570624173,0,0,4,0,1,0,0,0,0,0,0
45,0,9,2,1,0,4.32231553003877,0,0,5,0,1,0,0,0,0,0,0
54,0,8,2,1,0,4.307869622766846,0,0,4,0,1,0,0,0,0,0,0
44,0,7,2,1,0,4.109793482608794,0,0,4,0,0,0,0,0,0,0,0
46,0,8,2,1,0,4.123423435262084,0,0,4,0,0,0,0,0,0,0,0
38,0,7,2,1,0,3.9214440409023554,0,0,4,0,0,0,0,0,0,0,0
23,0,5,2,1,1,3.9361804341297555,0,0,2,0,0,0,0,1,0,0,0
23,0,5,2,1,1,3.6753108689123644,0,0,2,0,0,0,0,1,0,0,0
47,5,7,2,1,1,4.570234330262949,0,0,4,0,0,0,0,1,0,0,0
41,10,7,2,1,1,4.589020906951572,0,0,4,0,0,0,0,1,0,0,0
37,0,7,2,1,0,3.826716623501108,0,0,3,0,0,0,0,1,0,0,0
22,0,5,2,1,1,3.663532754804254,0,0,2,0,0,0,0,0,0,0,0
21,0,5,2,1,1,3.594465636961452,0,0,2,0,0,0,0,0,0,0,0
26,0,5,2,1,1,3.9312089489103226,0,0,2,0,0,0,0,0,0,0,0
29,0,5,2,1,2,4.1162646156680225,0,0,2,0,0,0,0,0,0,0,0
26,0,5,2,1,0,3.6423714487439023,0,0,2,0,0,0,0,0,0,0,0
21,0,5,2,1,0,3.4992275417233563,0,0,2,0,0,0,0,0,0,0,0
20,0,5,2,1,0,3.4464393446710155,0,0,2,0,0,0,0,0,0,0,0
26,0,5,2,1,0,4.056020968057881,0,0,2,0,0,0,0,0,0,0,0
23,0,5,2,1,0,3.7622673906514947,0,0,2,0,0,0,0,0,0,0,0
21,0,5,2,1,0,3.689703732199547,0,0,2,0,0,0,0,0,0,0,0
26,0,5,2,1,0,3.690260390968384,0,0,2,0,0,0,0,0,0,0,0
37,1,7,1,0,3,4.391489514102184,0,0,3,0,1,0,0,0,0,0,1
33,0,6,1,1,3,4.331976694984911,0,0,2,0,1,0,0,0,0,0,1
31,0,5,1,0,3,4.17146526179041,0,0,2,0,1,0,0,0,0,0,1
